name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A1	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A2	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A3	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A4	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A5	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A6	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A7	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A8	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A9	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A10	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A11	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A12	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A13	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A14	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A15	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A16	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A17	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A18	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A19	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A20	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A21	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A22	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A23	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A24	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A25	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A26	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A27	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A28	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A29	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A30	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A31	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A32	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A33	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A34	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A35	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A36	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A37	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A38	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A39	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A40	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A41	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A42	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A43	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A44	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A45	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A46	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A47	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A48	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A49	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A50	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A51	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A52	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A53	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A54	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A55	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A56	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A57	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A58	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A59	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A60	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B1	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B2	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B3	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B4	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B5	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B6	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B7	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B8	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B9	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B10	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B11	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B12	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
