name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A1	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A2	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A3	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A4	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A5	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A6	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A7	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A8	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A9	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A10	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A11	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A12	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A13	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A14	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A15	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A16	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A17	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A18	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A19	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A20	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A21	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A22	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A23	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A24	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A25	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A26	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A27	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A28	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A29	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A30	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A31	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A32	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A33	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A34	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A35	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A36	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A37	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A38	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A39	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A40	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A41	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A42	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A43	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A44	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A45	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A46	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A47	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A48	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A49	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A50	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A51	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A52	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A53	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A54	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A55	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A56	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A57	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A58	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A59	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
