name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A1	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A2	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A3	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A4	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A5	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A6	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A7	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A8	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A9	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A10	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A11	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A12	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A13	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A14	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A15	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A16	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A17	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A18	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A19	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A20	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A21	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A22	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A23	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A24	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A25	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A26	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A27	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A28	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A29	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A30	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A31	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A32	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A33	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A34	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A35	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A36	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A37	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
